edu,edur,race,citizen,usborn,boyorgirl,son,daughter,leadership,lifesatisfaction,discrimination,publicoffice,happywithlife,femaleoffice,femaledisc,femaleleader,censusregion,communitytype,language,gender,age,party,partyln,ideology,milnow,popdensity,standingup,keepgovhonest,compromise,publicsafety,dealsocialissue,representpublic,nationalsecurity,standingupr,keepgovhonestr,compromiser,publicsafetyr,dealsocialissuer,representpublicr,nationalsecurityr
four year college,college,white,US citizen,US born,girl,yes,yes,28.57,50,58.82,42.86,no,NA,yes,no,south,R,English,female,52,Republica,Do not know,very conservative,no,NA,women,women,no difference,men,women,women,men,women,women,NA,men,women,women,men
graduate,college,white,US citizen,US born,boy,NA,NA,NA,78,64.71,57.14,yes,yes,yes,NA,midwest,U,English,female,29,Republica,Do not know,conservative,yes both,NA,no difference,no difference,women,men,no difference,women,men,NA,NA,women,men,NA,women,men
graduate,college,white,US citizen,US born,either,NA,NA,57.14,78,76.47,85.71,yes,yes,yes,no,south,R,English,female,26,Republica,Do not know,conservative,no,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,67,58.82,92.86,no,yes,yes,NA,midwest,U,English,female,53,Republica,Democrat,NA,my spouse is,NA,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
graduate,college,white,US citizen,US born,either,no,yes,57.14,72,29.41,NA,NA,NA,no,no,south,S,English,male,39,Republica,Do not know,conservative,yes both,NA,women,women,women,men,women,NA,men,women,women,women,men,women,NA,men
two year college,less than college,white,US citizen,US born,girl,NA,NA,42.86,67,47.06,28.57,no,no,no,no,North East,S,English,female,34,Republica,Democrat,NA,yes both,NA,women,women,men,men,women,women,men,women,women,men,men,women,women,men
HS or less,less than college,black,Not US citizen,Not US born,girl,yes,no,57.14,78,35.29,50,yes,yes,no,no,south,R,Spanish,female,48,NA,NA,NA,my spouse is,NA,women,women,women,men,no difference,no difference,men,women,women,women,men,NA,NA,men
two year college,less than college,white,US citizen,US born,girl,yes,yes,35.71,72,NA,NA,NA,NA,NA,no,midwest,S,English,female,58,Republica,Do not know,very conservative,yes both,NA,no difference,NA,NA,men,women,women,men,NA,NA,NA,men,women,women,men
HS or less,less than college,white,US citizen,US born,girl,yes,yes,NA,44,NA,NA,no,NA,NA,NA,south,U,English,male,31,NA,Democrat,NA,yes both,NA,men,no difference,women,no difference,women,no difference,NA,men,NA,women,NA,women,NA,NA
graduate,college,white,US citizen,US born,girl,no,yes,35.71,72,35.29,50,NA,yes,no,no,west,S,English,female,42,Republica,Democrat,NA,NA,NA,women,women,women,women,women,women,women,women,women,women,women,women,women,women
HS or less,less than college,white,US citizen,US born,either,no,yes,NA,50,23.53,42.86,no,NA,no,NA,south,U,English,male,52,Republica,Do not know,conservative,yes both,NA,women,women,women,women,women,men,women,women,women,women,women,women,men,women
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,83,76.47,50,yes,yes,yes,NA,North East,S,English,female,46,Republica,Democrat,NA,yes I am,NA,women,women,women,women,women,women,women,women,women,women,women,women,women,women
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,61,58.82,85.71,no,yes,yes,NA,midwest,U,English,male,50,Republica,Democrat,NA,my spouse is,NA,no difference,no difference,no difference,no difference,women,women,no difference,NA,NA,NA,NA,women,women,NA
graduate,college,white,US citizen,Not US born,either,yes,no,100,NA,NA,78.57,NA,yes,NA,yes,south,S,English,male,76,Republica,Democrat,NA,yes both,NA,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
two year college,less than college,white,US citizen,US born,girl,yes,no,NA,NA,17.65,35.71,NA,no,no,NA,west,U,English,female,46,Republica,Republican,NA,no,NA,women,women,women,men,women,women,men,women,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,94,17.65,78.57,yes,yes,no,NA,west,U,Spanish,male,25,NA,Do not know,conservative,no,NA,no difference,no difference,men,no difference,women,no difference,no difference,NA,NA,men,NA,women,NA,NA
two year college,less than college,NA,US citizen,US born,girl,yes,yes,39.29,56,35.29,64.29,no,yes,no,no,North East,U,English,female,38,Republica,Democrat,NA,yes both,NA,no difference,women,women,women,no difference,women,women,NA,women,women,women,NA,women,women
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,47.06,28.57,NA,no,no,NA,North East,U,English,male,58,Republica,Do not know,conservative,no,NA,women,women,women,men,women,men,men,women,women,women,men,women,men,men
two year college,less than college,white,US citizen,US born,either,no,yes,42.86,61,NA,100,no,yes,NA,no,midwest,S,English,female,34,Republica,Democrat,NA,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,girl,no,yes,NA,94,52.94,92.86,yes,yes,yes,NA,midwest,S,English,female,60,Republica,Do not know,conservative,yes both,high,no difference,no difference,no difference,no difference,women,no difference,no difference,NA,NA,NA,NA,women,NA,NA
two year college,less than college,black,US citizen,US born,either,yes,yes,57.14,NA,47.06,92.86,NA,yes,no,no,North East,S,English,female,41,Republica,Democrat,NA,yes both,NA,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
four year college,college,white,US citizen,US born,boy,yes,yes,100,78,41.18,100,yes,yes,no,yes,south,U,English,male,51,Republica,Do not know,conservative,no,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,NA,NA,NA,NA,47.06,78.57,NA,yes,no,NA,North East,U,English,male,53,Republica,Democrat,NA,no,high,women,no difference,women,no difference,women,no difference,no difference,women,NA,women,NA,women,NA,NA
two year college,less than college,white,US citizen,US born,either,no,yes,NA,44,41.18,35.71,no,no,no,NA,midwest,S,English,female,52,Republica,Republican,NA,yes both,high,women,women,women,men,women,women,men,women,women,women,men,women,women,men
four year college,college,white,US citizen,US born,either,yes,yes,85.71,78,NA,85.71,yes,yes,NA,yes,west,S,English,female,57,NA,Do not know,conservative,no,NA,no difference,no difference,women,no difference,no difference,women,no difference,NA,NA,women,NA,NA,women,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,64.71,64.29,NA,yes,yes,NA,midwest,S,English,female,76,Republica,Democrat,NA,my spouse is,high,no difference,women,women,no difference,women,women,women,NA,women,women,NA,women,women,women
two year college,less than college,NA,US citizen,Not US born,either,yes,no,NA,NA,NA,35.71,NA,no,NA,NA,North East,R,English,male,52,Republica,Democrat,NA,yes both,low,men,women,women,women,women,women,men,men,women,women,women,women,women,men
HS or less,less than college,white,US citizen,US born,NA,yes,yes,NA,NA,52.94,42.86,NA,NA,yes,NA,midwest,U,English,male,76,Republica,Democrat,NA,yes both,NA,no difference,women,women,men,women,women,men,NA,women,women,men,women,women,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,41.18,42.86,NA,NA,no,NA,midwest,S,English,male,76,Republica,Democrat,NA,my spouse is,high,women,women,women,men,women,women,women,women,women,women,men,women,women,women
four year college,college,white,US citizen,US born,either,NA,NA,42.86,17,NA,92.86,no,yes,NA,no,west,U,English,male,52,Democrat,Do not know,conservative,yes both,NA,no difference,no difference,no difference,no difference,women,no difference,no difference,NA,NA,NA,NA,women,NA,NA
HS or less,less than college,Others,US citizen,Not US born,either,yes,yes,64.29,11,NA,NA,no,NA,NA,NA,west,U,English,female,75,Republica,Democrat,NA,my spouse is,NA,no difference,no difference,NA,no difference,men,women,men,NA,NA,NA,NA,men,women,men
HS or less,less than college,white,US citizen,US born,girl,NA,NA,85.71,NA,NA,85.71,NA,yes,NA,yes,south,S,English,male,19,Republica,Do not know,NA,NA,NA,no difference,no difference,no difference,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA,men
HS or less,less than college,black,US citizen,US born,boy,yes,no,NA,44,58.82,NA,no,NA,yes,NA,south,S,English,female,58,NA,Democrat,NA,no,NA,men,no difference,no difference,NA,no difference,no difference,no difference,men,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,Not US born,boy,yes,yes,NA,56,47.06,85.71,no,yes,no,NA,south,S,English,female,45,Republica,Democrat,NA,my spouse is,high,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
two year college,less than college,black,US citizen,US born,either,yes,yes,100,78,NA,100,yes,yes,NA,yes,midwest,U,English,male,52,Republica,Democrat,NA,NA,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,Others,US citizen,US born,boy,NA,NA,100,NA,41.18,100,NA,yes,no,yes,south,S,English,male,23,Republica,Democrat,NA,yes I am,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,no,yes,NA,61,NA,100,no,yes,NA,NA,midwest,U,English,female,26,NA,Do not know,conservative,NA,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,yes,NA,72,11.76,100,NA,yes,no,NA,midwest,U,English,female,46,Republica,Do not know,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,39,41.18,64.29,no,yes,no,NA,west,U,English,female,53,NA,Do not know,NA,my spouse is,high,no difference,no difference,women,no difference,women,women,men,NA,NA,women,NA,women,women,men
two year college,less than college,white,US citizen,US born,either,yes,yes,35.71,67,58.82,21.43,no,no,yes,no,south,S,English,female,25,NA,Republican,NA,my spouse is,high,women,men,men,men,women,women,men,women,men,men,men,women,women,men
four year college,college,NA,US citizen,US born,either,no,yes,71.43,72,11.76,NA,NA,NA,no,yes,west,S,English,male,32,Republica,Do not know,conservative,my spouse is,low,women,NA,women,no difference,no difference,no difference,no difference,women,NA,women,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,girl,NA,NA,28.57,67,41.18,28.57,no,no,no,no,midwest,U,English,female,18,Republica,Do not know,conservative,my spouse is,NA,men,women,women,men,women,women,men,men,women,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,41.18,35.71,NA,no,no,NA,midwest,S,English,female,72,Republica,Democrat,NA,yes both,NA,women,men,women,men,women,no difference,men,women,men,women,men,women,NA,men
graduate,college,white,US citizen,US born,either,yes,yes,NA,NA,29.41,78.57,NA,yes,no,NA,south,S,English,male,48,Republica,Republican,NA,yes both,high,no difference,no difference,no difference,no difference,women,no difference,men,NA,NA,NA,NA,women,NA,men
graduate,college,white,US citizen,US born,either,NA,NA,NA,94,58.82,85.71,yes,yes,yes,NA,west,U,English,female,40,Republica,Democrat,NA,yes both,high,no difference,women,women,no difference,no difference,no difference,no difference,NA,women,women,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,28.57,NA,52.94,21.43,NA,no,yes,no,south,R,English,male,61,Republica,Do not know,NA,my spouse is,NA,men,men,women,men,no difference,men,men,men,men,women,men,NA,men,men
four year college,college,Others,US citizen,US born,either,NA,NA,42.86,22,23.53,100,no,yes,no,no,south,S,English,male,33,Republica,Do not know,very conservative,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,yes,yes,57.14,NA,70.59,71.43,NA,yes,yes,no,south,S,English,female,70,Republica,Do not know,very conservative,yes I am,high,no difference,no difference,no difference,men,no difference,no difference,men,NA,NA,NA,men,NA,NA,men
graduate,college,NA,US citizen,US born,girl,yes,yes,NA,NA,52.94,100,NA,yes,yes,NA,North East,S,English,male,59,Republica,Do not know,conservative,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
HS or less,less than college,white,US citizen,US born,boy,NA,NA,64.29,50,64.71,71.43,no,yes,yes,NA,west,S,English,male,50,Democrat,Do not know,conservative,my spouse is,NA,no difference,no difference,no difference,no difference,no difference,men,men,NA,NA,NA,NA,NA,men,men
graduate,college,white,US citizen,US born,either,yes,no,NA,61,23.53,100,no,yes,no,NA,west,S,English,male,46,Republica,Do not know,conservative,yes both,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,yes,no,NA,56,52.94,28.57,no,no,yes,NA,midwest,R,English,male,60,Republica,Democrat,NA,no,NA,women,women,men,men,women,women,men,women,women,men,men,women,women,men
two year college,less than college,NA,US citizen,US born,either,yes,yes,28.57,67,52.94,85.71,no,yes,yes,no,midwest,R,English,female,64,Republica,Do not know,conservative,yes both,NA,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
graduate,college,white,US citizen,US born,NA,yes,yes,NA,NA,NA,42.86,NA,NA,NA,NA,midwest,S,English,male,57,Republica,Republican,NA,my spouse is,high,no difference,no difference,women,men,women,men,men,NA,NA,women,men,women,men,men
four year college,college,white,US citizen,US born,girl,NA,NA,NA,72,41.18,NA,NA,NA,no,NA,North East,S,English,female,56,Republica,Democrat,NA,no,high,women,no difference,women,women,women,NA,NA,women,NA,women,women,women,NA,NA
HS or less,less than college,black,US citizen,Not US born,boy,NA,NA,50,33,58.82,28.57,no,no,yes,no,midwest,U,English,female,28,NA,Democrat,NA,no,high,women,men,women,men,women,women,men,women,men,women,men,women,women,men
HS or less,less than college,white,US citizen,US born,either,yes,no,35.71,NA,11.76,42.86,NA,NA,no,no,midwest,U,English,male,52,Republica,Democrat,NA,yes both,high,no difference,women,men,men,women,men,no difference,NA,women,men,men,women,men,NA
graduate,college,white,US citizen,US born,boy,yes,yes,NA,NA,NA,78.57,NA,yes,NA,NA,midwest,R,English,male,65,Republica,Do not know,very conservative,yes both,low,women,women,no difference,no difference,women,no difference,no difference,women,women,NA,NA,women,NA,NA
two year college,less than college,white,US citizen,US born,either,no,yes,NA,NA,47.06,64.29,NA,yes,no,NA,south,U,English,female,61,Republica,Republican,NA,my spouse is,high,no difference,women,women,no difference,women,no difference,men,NA,women,women,NA,women,NA,men
four year college,college,white,US citizen,US born,boy,NA,NA,NA,56,47.06,50,no,yes,no,NA,North East,S,English,female,50,Republica,Democrat,NA,no,high,no difference,women,no difference,men,women,women,men,NA,women,NA,men,women,women,men
two year college,less than college,white,US citizen,US born,girl,yes,yes,42.86,NA,47.06,NA,NA,NA,no,no,midwest,U,English,female,71,Republica,Democrat,NA,no,high,NA,no difference,no difference,no difference,women,no difference,no difference,NA,NA,NA,NA,women,NA,NA
four year college,college,white,US citizen,US born,either,NA,NA,NA,94,NA,NA,yes,NA,NA,NA,south,U,English,female,79,Republica,Democrat,NA,yes both,high,women,women,women,NA,no difference,women,men,women,women,women,NA,NA,women,men
graduate,college,white,US citizen,US born,girl,yes,yes,NA,67,35.29,64.29,no,yes,no,NA,south,S,English,female,74,Republica,Democrat,NA,no,low,no difference,women,no difference,no difference,women,women,men,NA,women,NA,NA,women,women,men
HS or less,less than college,white,US citizen,US born,either,yes,no,NA,50,70.59,NA,no,NA,yes,NA,south,S,English,male,43,NA,Do not know,very conservative,yes both,NA,NA,women,women,men,women,women,men,NA,women,women,men,women,women,men
two year college,less than college,white,US citizen,US born,girl,no,yes,NA,83,NA,92.86,yes,yes,NA,NA,west,U,English,female,42,Republica,Democrat,NA,yes both,NA,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
two year college,less than college,white,US citizen,Not US born,boy,yes,yes,42.86,61,64.71,42.86,no,NA,yes,no,midwest,R,English,male,48,Republica,Democrat,NA,NA,NA,women,women,women,men,women,no difference,men,women,women,women,men,women,NA,men
HS or less,less than college,black,US citizen,US born,either,no,yes,NA,NA,5.88,NA,NA,NA,no,NA,south,S,English,male,47,Republica,Democrat,NA,yes I am,NA,women,NA,women,men,men,no difference,men,women,NA,women,men,men,NA,men
HS or less,less than college,white,US citizen,US born,either,NA,NA,35.71,72,70.59,50,NA,yes,yes,no,midwest,R,English,male,62,NA,Do not know,very conservative,no,high,women,women,women,women,women,women,women,women,women,women,women,women,women,women
graduate,college,white,US citizen,US born,boy,yes,no,50,100,47.06,57.14,yes,yes,no,no,south,U,English,male,62,NA,Do not know,conservative,yes both,low,no difference,no difference,men,women,women,no difference,men,NA,NA,men,women,women,NA,men
four year college,college,white,US citizen,US born,girl,no,yes,NA,NA,58.82,50,NA,yes,yes,NA,south,U,English,male,80,Republica,Democrat,NA,yes both,high,no difference,women,women,women,women,women,men,NA,women,women,women,women,women,men
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,23.53,NA,NA,NA,no,NA,west,U,English,female,69,Republica,Democrat,NA,yes both,high,women,women,NA,NA,no difference,no difference,no difference,women,women,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,either,yes,no,64.29,78,NA,100,yes,yes,NA,NA,North East,U,English,male,46,Republica,Democrat,NA,no,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,yes,no,NA,NA,52.94,35.71,NA,no,yes,NA,midwest,U,English,female,64,Republica,Do not know,very conservative,yes both,high,no difference,women,men,women,men,women,men,NA,women,men,women,men,women,men
graduate,college,white,US citizen,US born,either,yes,yes,100,83,52.94,71.43,yes,yes,yes,yes,west,U,English,female,77,Republica,Do not know,very conservative,yes both,low,no difference,no difference,no difference,no difference,women,women,men,NA,NA,NA,NA,women,women,men
two year college,less than college,white,US citizen,US born,girl,yes,yes,28.57,61,52.94,42.86,no,NA,yes,no,south,U,English,male,51,Republica,Do not know,very conservative,my spouse is,high,women,women,men,men,women,women,no difference,women,women,men,men,women,women,NA
graduate,college,white,US citizen,US born,either,yes,yes,NA,83,0,100,yes,yes,no,NA,south,S,English,male,54,Republica,Democrat,NA,yes both,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
four year college,college,white,US citizen,US born,girl,no,yes,NA,72,47.06,42.86,NA,NA,no,NA,midwest,U,English,female,78,Republica,Do not know,conservative,yes both,NA,women,women,women,men,women,women,women,women,women,women,men,women,women,women
four year college,college,white,US citizen,US born,either,NA,NA,71.43,78,47.06,92.86,yes,yes,no,yes,south,U,English,female,53,Republica,Do not know,conservative,no,NA,no difference,no difference,women,no difference,no difference,no difference,no difference,NA,NA,women,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,42.86,NA,41.18,85.71,NA,yes,no,no,midwest,R,English,female,45,Republica,Democrat,NA,yes both,NA,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
four year college,college,white,US citizen,US born,either,NA,NA,NA,NA,NA,100,NA,yes,NA,NA,south,R,English,male,25,Republica,Democrat,NA,no,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,NA,NA,NA,78,47.06,78.57,yes,yes,no,NA,south,U,English,male,19,Republica,Democrat,NA,NA,low,no difference,no difference,women,no difference,no difference,men,no difference,NA,NA,women,NA,NA,men,NA
HS or less,less than college,white,US citizen,US born,girl,yes,yes,NA,61,29.41,57.14,no,yes,no,NA,south,U,English,female,27,Republica,Democrat,NA,no,NA,no difference,no difference,women,men,women,no difference,men,NA,NA,women,men,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,NA,NA,47.06,35.71,NA,no,no,NA,south,R,English,male,44,NA,Republican,NA,yes both,NA,no difference,women,women,men,women,men,men,NA,women,women,men,women,men,men
two year college,less than college,white,US citizen,US born,girl,NA,NA,NA,94,58.82,35.71,yes,no,yes,NA,midwest,U,English,male,55,Republica,Do not know,conservative,yes both,NA,women,women,women,men,women,women,men,women,women,women,men,women,women,men
two year college,less than college,white,US citizen,US born,girl,NA,NA,NA,61,41.18,42.86,no,NA,no,NA,south,U,English,female,20,Republica,Do not know,conservative,yes both,NA,men,no difference,no difference,women,women,men,men,men,NA,NA,women,women,men,men
graduate,college,white,US citizen,US born,boy,NA,NA,NA,61,58.82,57.14,no,yes,yes,NA,midwest,U,English,male,65,Republica,Do not know,conservative,yes both,high,women,no difference,no difference,men,women,no difference,men,women,NA,NA,men,women,NA,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,64.29,61,47.06,NA,no,NA,no,NA,south,R,English,male,63,Republica,Democrat,NA,yes both,NA,NA,no difference,women,men,no difference,no difference,men,NA,NA,women,men,NA,NA,men
HS or less,less than college,NA,US citizen,US born,boy,no,yes,NA,39,NA,NA,no,NA,NA,NA,midwest,R,English,male,51,NA,Do not know,NA,NA,NA,women,no difference,no difference,NA,women,NA,no difference,women,NA,NA,NA,women,NA,NA
four year college,college,white,US citizen,US born,either,yes,yes,NA,61,35.29,71.43,no,yes,no,NA,west,U,English,male,55,Republica,Democrat,NA,yes both,high,women,no difference,no difference,no difference,women,no difference,men,women,NA,NA,NA,women,NA,men
two year college,less than college,NA,US citizen,Not US born,either,NA,NA,64.29,72,82.35,64.29,NA,yes,yes,NA,midwest,R,English,female,39,Republica,Democrat,NA,no,NA,no difference,no difference,women,no difference,women,women,men,NA,NA,women,NA,women,women,men
four year college,college,white,US citizen,US born,either,yes,yes,NA,NA,NA,50,NA,yes,NA,NA,midwest,R,English,female,77,Republica,NA,NA,yes both,NA,no difference,women,women,men,women,women,women,NA,women,women,men,women,women,women
HS or less,less than college,white,US citizen,US born,girl,yes,no,NA,50,64.71,71.43,no,yes,yes,NA,North East,S,English,male,67,Republica,Democrat,NA,my spouse is,high,women,women,no difference,men,no difference,no difference,no difference,women,women,NA,men,NA,NA,NA
four year college,college,white,US citizen,US born,either,no,yes,NA,83,41.18,85.71,yes,yes,no,NA,west,U,English,male,35,Republica,Democrat,NA,no,NA,no difference,no difference,women,no difference,women,no difference,no difference,NA,NA,women,NA,women,NA,NA
four year college,college,white,US citizen,US born,NA,yes,yes,35.71,72,41.18,78.57,NA,yes,no,no,south,R,English,female,53,Republica,Do not know,very conservative,yes both,NA,women,women,women,no difference,no difference,no difference,no difference,women,women,women,NA,NA,NA,NA
graduate,college,white,US citizen,US born,girl,yes,yes,NA,NA,41.18,42.86,NA,NA,no,NA,south,S,English,male,68,Republica,Republican,NA,my spouse is,low,men,women,women,men,no difference,no difference,men,men,women,women,men,NA,NA,men
four year college,college,white,US citizen,US born,girl,yes,no,NA,NA,NA,50,NA,yes,NA,NA,North East,S,English,female,67,Republica,Do not know,conservative,yes both,high,women,women,women,men,women,no difference,women,women,women,women,men,women,NA,women
four year college,college,white,US citizen,US born,boy,yes,no,NA,78,70.59,21.43,yes,no,yes,NA,south,U,English,male,52,Republica,Republican,NA,my spouse is,low,no difference,men,men,men,women,men,men,NA,men,men,men,women,men,men
four year college,college,white,US citizen,US born,girl,yes,yes,64.29,NA,29.41,57.14,NA,yes,no,NA,west,R,English,male,57,Republica,Do not know,very conservative,my spouse is,high,men,no difference,no difference,no difference,no difference,men,men,men,NA,NA,NA,NA,men,men
HS or less,less than college,white,US citizen,US born,NA,NA,NA,64.29,78,17.65,50,yes,yes,no,NA,midwest,U,English,male,48,Republica,Republican,NA,yes both,NA,women,women,women,no difference,no difference,men,men,women,women,women,NA,NA,men,men
graduate,college,NA,US citizen,US born,either,yes,no,NA,56,29.41,85.71,no,yes,no,NA,west,U,English,male,57,Republica,Do not know,very conservative,yes both,NA,no difference,no difference,men,no difference,no difference,no difference,no difference,NA,NA,men,NA,NA,NA,NA
two year college,less than college,white,US citizen,US born,boy,NA,NA,35.71,83,70.59,78.57,yes,yes,yes,no,south,S,English,male,19,NA,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,women,men,no difference,NA,NA,NA,NA,women,men,NA
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,64.71,7.14,NA,no,yes,NA,midwest,R,English,male,71,Republica,Republican,NA,yes I am,high,men,men,men,men,women,men,men,men,men,men,men,women,men,men
four year college,college,white,US citizen,US born,girl,no,yes,50,78,64.71,35.71,yes,no,yes,no,south,S,English,female,72,Republica,Republican,NA,my spouse is,high,women,women,women,men,women,women,men,women,women,women,men,women,women,men
graduate,college,white,US citizen,US born,either,no,yes,NA,NA,NA,71.43,NA,yes,NA,NA,west,U,English,female,48,Republica,Republican,NA,my spouse is,high,no difference,no difference,women,no difference,women,no difference,men,NA,NA,women,NA,women,NA,men
HS or less,less than college,white,US citizen,US born,boy,yes,yes,42.86,67,70.59,78.57,no,yes,yes,no,west,S,English,male,60,Republica,Democrat,NA,no,high,no difference,women,women,no difference,women,no difference,no difference,NA,women,women,NA,women,NA,NA
two year college,less than college,white,US citizen,US born,girl,yes,yes,NA,NA,52.94,64.29,NA,yes,yes,NA,midwest,U,English,male,58,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,women,men,men,NA,NA,NA,NA,women,men,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,88.24,57.14,NA,yes,yes,NA,south,S,English,male,81,Republica,Republican,NA,yes I am,high,women,women,women,men,women,no difference,no difference,women,women,women,men,women,NA,NA
two year college,less than college,white,US citizen,US born,either,yes,yes,NA,NA,64.71,71.43,NA,yes,yes,NA,midwest,U,English,male,77,Republica,Do not know,very conservative,my spouse is,high,no difference,no difference,no difference,women,women,no difference,men,NA,NA,NA,women,women,NA,men
two year college,less than college,white,US citizen,US born,either,yes,no,64.29,NA,NA,57.14,NA,yes,NA,NA,west,S,English,male,83,Republica,Republican,NA,yes I am,NA,no difference,no difference,no difference,men,no difference,men,men,NA,NA,NA,men,NA,men,men
two year college,less than college,white,US citizen,US born,either,yes,yes,35.71,94,52.94,42.86,yes,NA,yes,no,south,R,English,female,56,Republica,Republican,NA,yes both,high,no difference,no difference,men,men,no difference,men,men,NA,NA,men,men,NA,men,men
two year college,less than college,white,US citizen,US born,either,no,yes,NA,67,29.41,35.71,no,no,no,NA,south,U,English,male,52,Republica,Republican,NA,my spouse is,high,no difference,no difference,men,men,women,men,men,NA,NA,men,men,women,men,men
HS or less,less than college,white,US citizen,US born,either,yes,yes,NA,NA,41.18,100,NA,yes,no,NA,midwest,R,English,male,61,Republica,Republican,NA,my spouse is,high,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
graduate,college,white,US citizen,US born,girl,no,yes,28.57,78,41.18,50,yes,yes,no,no,west,U,English,male,43,Republica,Republican,NA,yes both,NA,no difference,no difference,no difference,men,women,men,men,NA,NA,NA,men,women,men,men
HS or less,less than college,white,US citizen,US born,boy,yes,no,NA,NA,NA,35.71,NA,no,NA,NA,south,R,English,male,44,Republica,Republican,NA,NA,high,no difference,women,men,women,men,women,men,NA,women,men,women,men,women,men
four year college,college,white,US citizen,US born,boy,yes,yes,28.57,33,58.82,14.29,no,no,yes,no,North East,U,English,male,24,Republica,Republican,NA,my spouse is,high,women,men,men,men,women,men,men,women,men,men,men,women,men,men
two year college,less than college,NA,US citizen,US born,either,yes,no,NA,NA,47.06,21.43,NA,no,no,NA,south,R,English,male,62,Republica,Democrat,NA,yes both,NA,men,women,women,men,women,men,men,men,women,women,men,women,men,men
HS or less,less than college,white,US citizen,Not US born,boy,NA,NA,NA,50,23.53,100,no,yes,no,NA,North East,S,English,male,47,Republica,Do not know,very conservative,NA,NA,no difference,no difference,no difference,no difference,no difference,no difference,no difference,NA,NA,NA,NA,NA,NA,NA
